Date,x1,x2,x3,x4,x5,x6,x7,Close
11/01/2019,,,,,,,,"27,347.36"
11/04/2019,,,,,,,,"27,462.11"
11/05/2019,,,,,,,,"27,492.63"
11/06/2019,,,,,,,,"27,492.56"
11/07/2019,,,,,,,,"27,674.80"
11/08/2019,,,,,,,,"27,681.24"
11/11/2019,,,,,,,,"27,691.49"
11/12/2019,,,,,,,,"27,691.49"
11/13/2019,,,,,,,,"27,783.59"
11/14/2019,,,,,,,,"27,781.96"
11/15/2019,,,,,,,,"28,004.89"
11/18/2019,,,,,,,,"28,036.22"
11/19/2019,,,,,,,,"27,934.02"
11/20/2019,,,,,,,,"27,821.09"
11/21/2019,,,,,,,,"27,766.29"
11/22/2019,,,,,,,,"27,875.62"
11/25/2019,,,,,,,,"28,066.47"
11/26/2019,,,,,,,,"28,121.68"
11/27/2019,,,,,,,,"28,164.00"
11/29/2019,,,,,,,,"28,051.41"
12/02/2019,,,,,,,,"27,783.04"
12/03/2019,,,,,,,,"27,502.81"
12/04/2019,,,,,,,,"27,649.78"
12/05/2019,,,,,,,,"27,677.79"
12/06/2019,,,,,,,,"28,015.06"
12/09/2019,,,,,,,,"27,909.60"
12/10/2019,,,,,,,,"27,881.72"
12/11/2019,,,,,,,,"27,911.30"
12/12/2019,,,,,,,,"28,132.05"
12/13/2019,,,,,,,,"28,135.38"
12/16/2019,,,,,,,,"28,235.89"
12/17/2019,,,,,,,,"28,267.16"
12/18/2019,,,,,,,,"28,239.28"
12/19/2019,,,,,,,,"28,376.96"
12/20/2019,,,,,,,,"28,455.09"
12/23/2019,,,,,,,,"28,551.53"
12/24/2019,,,,,,,,"28,515.45"
12/26/2019,,,,,,,,"28,621.39"
12/27/2019,,,,,,,,"28,645.26"
12/30/2019,,,,,,,,"28,462.14"
12/31/2019,,,,,,,,"28,538.44"
01/02/2020,,,,,,,,"28,868.80"
01/03/2020,,,,,,,,"28,634.88"
01/06/2020,,,,,,,,"28,703.38"
01/07/2020,,,,,,,,"28,583.68"
01/08/2020,,,,,,,,"28,745.09"
01/09/2020,,,,,,,,"28,956.90"
01/10/2020,,,,,,,,"28,823.77"
01/13/2020,,,,,,,,"28,907.05"
01/14/2020,,,,,,,,"28,939.67"
01/15/2020,,,,,,,,"29,030.22"
01/16/2020,,,,,,,,"29,297.64"
01/17/2020,,,,,,,,"29,348.10"
01/21/2020,,,,,,,,"29,196.04"
01/22/2020,,,,,,,,"29,186.27"
01/23/2020,,,,,,,,"29,160.09"
01/24/2020,,,,,,,,"28,989.73"
01/27/2020,,,,,,,,"28,535.80"
01/28/2020,,,,,,,,"28,722.85"
01/29/2020,,,,,,,,"28,734.45"
01/30/2020,,,,,,,,"28,859.44"
01/31/2020,,,,,,,,"28,256.03"
02/03/2020,,,,,,,,"28,399.81"
02/04/2020,,,,,,,,"28,807.63"
02/05/2020,,,,,,,,"29,290.85"
02/06/2020,,,,,,,,"29,379.77"
02/07/2020,,,,,,,,"29,102.51"
02/10/2020,,,,,,,,"29,276.82"
02/11/2020,,,,,,,,"29,276.34"
02/12/2020,,,,,,,,"29,551.42"
02/13/2020,,,,,,,,"29,423.31"
02/14/2020,,,,,,,,"29,398.08"
02/18/2020,,,,,,,,"29,232.19"
02/19/2020,,,,,,,,"29,348.03"
02/20/2020,,,,,,,,"29,219.98"
02/21/2020,,,,,,,,"28,992.41"
02/24/2020,,,,,,,,"27,960.80"
02/25/2020,,,,,,,,"27,081.36"
02/26/2020,,,,,,,,"26,957.59"
02/27/2020,,,,,,,,"25,766.64"
02/28/2020,,,,,,,,"25,409.36"
03/02/2020,,,,,,,,"26,703.32"
03/03/2020,,,,,,,,"25,917.41"
03/04/2020,,,,,,,,"27,090.86"
03/05/2020,,,,,,,,"26,121.28"
03/06/2020,,,,,,,,"25,864.78"
03/09/2020,,,,,,,,"23,851.02"
03/10/2020,,,,,,,,"25,018.16"
03/11/2020,,,,,,,,"23,553.22"
03/12/2020,,,,,,,,"21,200.62"
03/13/2020,,,,,,,,"23,185.62"
03/16/2020,,,,,,,,"20,188.52"
03/17/2020,,,,,,,,"21,237.38"
03/18/2020,,,,,,,,"19,898.92"
03/19/2020,,,,,,,,"20,087.19"
03/20/2020,,,,,,,,"19,173.98"
03/23/2020,,,,,,,,"18,591.93"
03/24/2020,,,,,,,,"20,704.91"
03/25/2020,,,,,,,,"21,200.55"
03/26/2020,,,,,,,,"22,552.17"
03/27/2020,,,,,,,,"21,636.78"
03/30/2020,,,,,,,,"22,327.48"
03/31/2020,,,,,,,,"21,917.16"
